Population,Town
108,"Liscannor, Clare"
120,"Baltray, Louth"
125,"Cromane, Kerry"
128,"Kilfenora, Clare"
137,"Kildalkey, Meath"
137,"Mullaghmore, Sligo"
142,"Ballyroan, Laois"
149,"Ardskeagh, Clare"
149,"Feakle, Clare"
151,"Ballyroe, Kildare"
151,"Stratford-on-Slaney, Wicklow"
153,"Multyfarnham, Westmeath"
155,"Gortahork, Donegal"
156,"Kilgarvan, Kerry"
157,"Castletownshend, Cork"
157,"Inchigeelagh, Cork"
158,"Carrigans, Donegal"
159,"Beaufort, Kerry"
159,"Reardnogy, Tipperary North"
160,"Leap, Cork"
161,"Clashmore, Waterford"
162,"Grahormac, Wexford"
162,"Oldtown, Fingal"
165,"Castle Ellis, Wexford"
166,"Blacklion, Cavan"
167,"Coolaney, Sligo"
168,"Danescastle, Wexford"
169,"Newbawn, Wexford"
170,"Ballysax, Kildare"
171,"Grangemore, Kildare"
172,"Knightstown, Kerry"
172,"Rathard, Cork"
173,"Carrigkerry, Limerick"
173,"Clarinbridge, Galway"
173,"Clonee Village, Meath"
173,"Drumsna, Leitrim"
173,"Kill, Waterford"
174,"Brittas, South Dublin"
174,"Laghy (Laghey), Donegal"
176,"Adamstown, Wexford"
176,"Kells, Kilkenny"
179,"Ballyhooly, Cork"
179,"Maddenstown, Kildare"
182,"Butlersbridge, Cavan"
182,"Culdaff, Donegal"
182,"Loughglinn, Roscommon"
183,"Bridgetown, Wexford"
183,"Killeigh, Offaly"
184,"Kilmaine, Mayo"
185,"Ballyagran, Limerick"
185,"Cong, Galway and Mayo"
186,"Castlegregory, Kerry"
190,"Dromina, Cork"
190,"Spiddle, Galway"
190,"Tramore Environs, Waterford"
191,"Dundrum, Tipperary South"
192,"Villierstown, Waterford"
193,"Aglish, Waterford"
193,"Ballydesmond, Cork"
193,"Clonegal, Carlow and Wexford"
193,"Whitegate, Clare"
194,"Keadew, Roscommon"
194,"Rathmolyon, Meath"
198,"Roosky, Leitrim and Roscommon"
201,"Ballyvaughan, Clare"
201,"Cabragh, Monaghan"
201,"Donard, Wicklow"
201,"Newcastle, Tipperary South"
202,"Annascaul, Kerry"
202,"Union Hall, Cork"
204,"Brosna, Kerry"
204,"Glencullen, Dún Laoghaire–Rathdown, Dublin"
204,"Knocklong, Limerick"
204,"Knocknagree, Cork"
204,"Milford, Cork"
205,"Ballingeary, Cork"
206,"Ballydehob, Cork"
206,"Ballyfarnon, Roscommon"
206,"Doonbeg, Clare"
207,"Ballycullane, Wexford"
207,"Gortnahoo, Tipperary South"
207,"Louisburgh, Mayo"
208,"Ballyclogh, Cork"
210,"Ballyhack, Wexford"
210,"Lemybrien, Waterford"
211,"Castlelyons, Cork"
211,"Easky, Sligo"
211,"Johnstown, Kildare"
214,"Bridebridge, Cork"
215,"Kildorrery, Cork"
215,"Naul, Fingal"
216,"Ballintra, Donegal"
216,"Glassan, Westmeath"
216,"Glen, Limerick"
217,"Ballysimon, Wexford"
218,"Abbeydorney, Kerry"
218,"Abbeyside, Waterford"
220,"Emo, Laois"
220,"Lackaghbeg, Galway"
220,"Scotstown, Monaghan"
221,"Balreask, Meath"
222,"Coonagh, Limerick"
223,"Swanlinbar, Cavan"
224,"Clongeen, Wexford"
224,"Killavullen, Cork"
224,"Newtown, Cork"
225,"Grange, Sligo"
225,"Keenagh, Longford"
226,"Kinnitty, Offaly"
229,"Collinstown, Westmeath"
230,"Kilkelly, Mayo"
230,"Mountcollins, Limerick"
231,"Omeath, Louth"
232,"Raharney, Westmeath"
234,"Quilty, Clare"
235,"Galbally, Limerick"
236,"Clontuskert, Roscommon"
236,"Kilmoganny, Kilkenny"
236,"Moylough, Galway"
237,"Kilmainham, Meath"
239,"Ballymore, Westmeath"
239,"Gneevgullia, Kerry"
239,"Knockglass, Cork"
239,"Nurney, Kildare"
239,"Roundstone, Galway"
240,"Burnfoot, Donegal"
240,"Smithborough, Monaghan"
241,"Coolagary, Offaly"
242,"Carragh, Kildare"
242,"Drumkeeran, Leitrim"
242,"Ladytown, Kildare"
243,"Murntown, Wexford"
244,"Kernanstown, Carlow"
245,"Carrick, Donegal"
245,"Newtown, Laois"
245,"Nobber, Meath"
247,"Annagry, Donegal"
248,"Ballycumber, Offaly"
248,"Clonard, Meath"
248,"Lixnaw, Kerry"
248,"Mungret, Limerick"
248,"Shannonbridge, Offaly"
249,"Ballycastle, Mayo"
250,"Gurteen, Sligo"
251,"Causeway, Kerry"
252,"Belmont, Offaly"
253,"Carrowkeel, Donegal"
254,"Ballinlough, Roscommon"
254,"Glencolumbkille, Donegal"
255,"Ballymulcashel, Clare"
256,"Liscarroll, Cork"
257,"Carrigallen, Leitrim"
257,"Silvermines, Tipperary North"
258,"Conna, Cork"
259,"Bracknagh, Offaly"
259,"Courtmacsherry, Cork"
260,"Ballynacargy, Westmeath"
262,"Kilcar, Donegal"
263,"Jenkinstown, Louth"
265,"Oilgate, Wexford"
266,"Bangor Erris, Mayo"
266,"Inistioge, Kilkenny"
267,"Kildrum, Donegal"
267,"Tievebane, Donegal"
268,"Golden, Tipperary South"
269,"Puckaun, Tipperary North"
270,"Ardagh, Limerick"
270,"Churchbay, Cork"
270,"Kilronan, Galway"
270,"Newbliss, Monaghan"
271,"Ahascragh, Galway"
271,"Kildysart, Clare"
271,"Milltown, Kildare"
273,"Lawcus, Kilkenny"
273,"Riverstown, Sligo"
275,"Pettigo (pt.) (a), Donegal"
277,"Drumlish, Longford"
278,"Emly, Tipperary South"
278,"Shillelagh, Wicklow"
279,"Rannafast, Donegal"
280,"Woodford, Galway"
283,"Durrus, Cork"
284,"Ballon, Carlow"
285,"Sneem, Kerry"
287,"Rockcorry, Monaghan"
289,"Castletown, Laois"
289,"Garristown, Fingal"
291,"Moneygall, Offaly"
291,"Shanagarry, Cork"
292,"Kilmessan, Meath"
292,"Paulstown, Kilkenny"
293,"Dunfanaghy, Donegal"
295,"Ballyporeen, Tipperary South"
295,"Model Village (or Dripsey), Cork"
296,"Glasslough, Monaghan"
296,"Tinure, Louth"
297,"Ballindine, Mayo"
298,"Bridge End, Donegal"
298,"Stradbally, Waterford"
299,"Bruree, Limerick"
300,"Broadford, Limerick"
300,"Monivea, Galway"
302,"Ballycanew, Wexford"
302,"Bansha, Tipperary South"
302,"Fethard-on-Sea, Wexford"
303,"Duncannon, Wexford"
304,"Creeslough, Donegal"
305,"Kilnaleck, Cavan"
309,"Kilcloon, Meath"
309,"Kilrane, Wexford"
309,"Mullinavat, Kilkenny"
310,"Inniskeen, Monaghan"
312,"Dromahair, Leitrim"
312,"Loughanure, Donegal"
313,"Ballyboghil, Fingal"
313,"Ballyliffin, Donegal"
314,"Ballingarry, Tipperary South"
319,"Furbogh, Galway"
320,"Camolin, Wexford"
320,"Clogh-Chatsworth, Kilkenny"
320,"Crookstown, Cork"
320,"Manorcunningham, Donegal"
321,"Toomevara, Tipperary North"
323,"Timoleague, Cork"
324,"Kilkishen, Clare"
325,"Cheekpoint, Waterford"
325,"Kilmihill, Clare"
325,"Templetuohy, Tipperary North"
326,"Newtownsandes, Kerry"
326,"Shrule, Mayo"
327,"Banteer, Cork"
327,"Cliffoney, Sligo"
328,"Ballinakill, Laois"
330,"Bellanode, Monaghan"
330,"Glenbeigh, Kerry"
332,"Milltown, Kerry"
332,"Ring, Waterford"
332,"Straffan, Kildare"
333,"Ballylanders, Limerick"
333,"Shannon Environs, Clare"
334,"Donore, Meath"
335,"Campile, Wexford"
335,"Kinlough, Leitrim"
335,"Knockbridge, Louth"
337,"Ballymakeery, Cork"
338,"Ballitore, Kildare"
338,"Fahan, Donegal"
339,"Clonroche, Wexford"
340,"Cappawhite, Tipperary South"
344,"Geashill, Offaly"
345,"Killimor, Galway"
346,"Burtonport, Donegal"
346,"Crocknamurleog, Donegal"
348,"Ballingarry, Limerick"
348,"Mullinahone, Tipperary South"
351,"Cloonboo, Galway"
353,"Dunkineely, Donegal"
354,"Eyrecourt, Galway"
355,"Achill Sound, Mayo"
355,"Kentstown, Meath"
357,"Arvagh, Cavan"
357,"Laragh, Wicklow"
358,"Craughwell, Galway"
358,"Frenchpark, Roscommon"
363,"Drimoleague, Cork"
368,"Farran, Cork"
368,"Pallas Green, Limerick"
371,"Tinriland, Carlow"
373,"Shanagolden, Limerick"
375,"O'Briensbridge-Montpelier, Clare and Limerick"
375,"Robertstown, Kildare"
377,"Glenealy, Wicklow"
378,"Ford, Wexford"
378,"Glanworth, Cork"
379,"Boherbue, Cork"
379,"Borris-in-Ossory, Laois"
381,"Brinlack, Donegal"
382,"Corofin, Clare"
383,"Baltimore, Cork"
386,"Watergrasshill, Cork"
389,"Drumconrath, Meath"
390,"Clonbullogue, Offaly"
391,"Oola, Limerick"
393,"Clonmany, Donegal"
394,"Barntown, Wexford"
398,"Coolgreany, Wexford"
399,"Killygordan, Donegal"
401,"Goresbridge, Kilkenny"
401,"Portroe, Tipperary North"
403,"Clonmellon, Westmeath"
405,"Ballylongford, Kerry"
407,"Doon, Limerick"
407,"Ringaskiddy (or Loughbeg), Cork"
408,"Ballyclerahan, Tipperary South"
410,"Athea, Limerick"
411,"Ballyoulster, Kildare"
412,"Coachford, Cork"
414,"Tulla, Clare"
417,"Kilberry, Kildare"
417,"Killeshandra, Cavan"
417,"Kilmore Quay, Wexford"
422,"Julianstown/Whitecross, Meath"
423,"Castletownroche, Cork"
424,"Collon, Louth"
424,"Spa, Kerry"
425,"Ballycotton, Cork"
426,"Killeagh, Cork"
427,"Kilworth, Cork"
427,"Quin, Clare"
429,"Rathcormac, Cork"
430,"Ballylinan, Laois"
430,"Kilmacrennan, Donegal"
430,"Meenlaragh, Donegal"
431,"Ballinroad, Waterford"
431,"Cloughjordan, Tipperary North"
432,"Mountcharles, Donegal"
433,"Fenit, Kerry"
436,"Kilmeage, Kildare"
437,"Ballybay, Monaghan"
437,"Rosscarbery, Cork"
440,"Whitegate, Cork"
443,"Balla, Mayo"
443,"Tallanstown, Louth"
443,"Tyrrellspass, Westmeath"
447,"Kinvara, Galway"
450,"Rathmore, Kerry"
454,"Gowran, Kilkenny"
454,"Shercock, Cavan"
457,"Glenamaddy, Galway"
